,Answers_Code
0,1351
1,531
2,860
3,512
4,1426
5,817
6,643
7,253
8,661
9,904
10,255
11,852
12,938
13,511
14,830
15,907
16,589
17,663
18,510
19,617
20,93
21,947
22,939
23,204
24,1220
25,594
26,513
27,917
28,588
29,647
30,151
31,582
32,741
33,514
34,590
35,734
36,602
37,1266
38,604
39,254
40,732
41,1304
42,504
43,550
44,660
45,655
46,1164
47,203
48,878
49,976
50,651
51,731
52,1139
53,1125
54,332
55,283
56,778
57,1144
58,1131
59,418
60,419
61,417
62,1115
63,1151
64,1293
65,166
66,1043
67,772
68,131
69,1411
70,267
71,354
72,1173
73,742
74,309
75,1430
76,558
77,420
78,1328
79,1307
80,639
81,638
82,350
83,240
84,640
85,1184
86,950
87,308
88,1105
89,1383
90,1348
91,195
92,1185
93,1295
94,57
95,344
96,680
97,1375
98,68
99,1361
100,292
101,800
102,805
103,903
104,1112
105,1359
106,1119
107,109
108,154
109,1072
110,1101
111,312
112,786
113,313
114,909
115,980
116,351
117,1104
118,1463
119,13
120,718
121,33
122,1021
123,197
124,122
125,1427
126,51
127,97
128,653
129,106
130,1277
131,699
132,217
133,1476
134,796
135,965
136,962
137,1320
138,1029
139,263
140,1335
141,1337
142,1454
143,168
144,1395
145,1238
146,185
147,554
148,208
149,716
150,1090
151,173
152,1150
153,730
154,1301
155,528
156,268
157,623
158,726
159,575
160,1450
161,1259
162,1380
163,572
164,400
165,533
166,1197
167,290
168,246
169,916
170,983
171,776
172,535
173,717
174,324
175,1178
176,1384
177,756
178,1382
179,177
180,933
181,1471
182,530
183,720
184,721
185,1281
186,1367
187,995
188,1436
189,593
190,337
191,522
192,537
193,1195
194,740
195,1299
196,123
197,1017
198,118
199,527
200,532
201,523
202,768
203,521
204,1142
205,656
206,850
207,842
208,1428
209,700
210,1094
211,482
212,456
213,705
214,1159
215,333
216,1389
217,1223
218,125
219,774
220,911
221,806
222,1261
223,725
224,450
225,534
226,422
227,999
228,526
229,561
230,1434
231,1084
232,592
233,1136
234,471
235,463
236,1432
237,829
238,1342
239,728
240,1339
241,857
242,1180
243,549
244,191
245,448
246,102
247,104
248,1194
249,827
250,861
251,452
252,473
253,464
254,460
255,11
256,875
257,871
258,892
259,248
260,889
261,870
262,81
263,618
264,225
265,924
266,754
267,891
268,919
269,888
270,777
271,1204
272,896
273,881
274,249
275,483
276,468
277,867
278,1352
279,825
280,235
281,820
282,446
283,487
284,454
285,453
286,499
287,648
288,117
289,1004
290,1369
291,1166
292,841
293,440
294,869
295,880
296,895
297,957
298,1457
299,299
300,1089
301,187
302,1368
303,1146
304,649
305,1069
306,498
307,475
308,442
309,1326
310,457
311,557
312,455
313,451
314,959
315,1181
316,260
317,1205
